ID,OUTPUT
1,104.4445107674
2,115.2182959617
3,123.223755941
4,148.5532514002
5,133.9279776751
6,124.524726418
7,53.2021923555
8,123.768595867
9,127.1176195306
10,116.4151743131
11,141.6314290979
12,134.7386110102
13,148.4808974501
14,56.8824035979
15,150.6840261074
16,106.217749605
17,137.8696675735
18,35.013617553
19,141.1212105324
20,125.5879927172
21,112.7581244411
22,62.6032959484
23,119.5189711606
24,136.5386813051
25,57.0405594056
26,136.0828029859
27,78.9994979742
28,131.8663327354
29,143.5940336728
30,97.10778123
31,48.9779012584
32,124.9722898817
33,103.7480447137
34,149.3940565639
35,98.5777784924
36,133.5129747384
37,107.6808778025
38,114.4081995843
39,116.4929901621
40,70.5782134935
41,46.7633693179
42,148.664484172
43,108.5539121329
44,52.4964476054
45,118.0683168367
46,152.7133147501
47,102.5061735448
48,60.2397583425
49,46.8835166217
50,147.671705677
51,146.8360071587
52,121.5354815295
53,134.3849026394
54,122.9309481639
55,69.1571400947
56,147.196178036
57,105.0312039183
58,107.8676642889
59,108.0156436539
60,106.5172523644
61,38.6608479708
62,104.8980467113
63,50.6262517785
64,113.7864471527
65,144.0905290163
66,150.6013663462
67,100.2080512095
68,128.4861099063
69,113.7910820326
70,147.1393491735
71,83.1960725336
72,141.1708810715
73,136.2696918935
74,151.4639226474
75,109.7407568872
76,150.529239765
77,101.2900204376
78,33.8622374155
79,52.5114749816
80,48.4408626814
81,57.1885963248
82,110.4429373428
83,82.9530934612
84,135.3351710535
85,148.6725667046
86,154.6925160038
87,137.9818938804
88,120.2872727294
89,43.6712903408
90,133.82540335
91,131.0092587781
92,106.0839668576
93,116.3893958447
94,151.0227182821
95,146.4761843433
96,114.2228232249
97,141.5264064713
98,102.7292328265
99,109.372801031
100,55.4039240364
101,117.6822412398
102,70.028576938
103,112.8293554094
104,133.3352621659
105,132.0212884199
106,64.6052569057
107,106.0219996016
108,40.5469901178
109,112.4189623887
110,118.6261019424
111,137.8640925246
112,109.1789328799
113,125.7568394323
114,130.7079334991
115,45.2829279925
116,148.9239418738
117,131.9242033903
118,31.5818532363
119,130.563297656
120,112.1492379951
121,54.0466235126
122,136.6142507784
123,112.0823767683
124,152.6462605567
125,135.8999523393
126,97.1199630538
127,129.3812585022
128,50.7067050308
129,110.0600594053
130,71.8171544567
131,81.1267783953
132,143.8206260926
133,146.6979912808
134,151.4151912937
135,132.623124827
136,135.1097447716
137,121.5084558236
138,60.2291131276
139,103.0483650992
140,134.4407070166
141,97.0324441715
142,114.9066456673
143,142.3354068677
144,105.3894741608
145,54.3163749884
146,151.5569002554
147,94.0423197368
148,112.7504429204
149,134.9748588756
150,125.1275208443
151,127.5445654317
152,112.9344651304
153,101.973000753
154,130.2895817373
155,41.7044541901
156,135.6262952293
157,148.3485757742
158,122.6433535131
159,50.0415602423
160,104.7629442344
161,72.9789078115
162,98.9809637623
163,33.497119541
164,107.4559020597
165,130.644717598
166,110.1574976408
167,38.382907961
168,135.4742740745
169,75.7025683738
170,112.8440756782
171,155.0940642111
172,130.6084196128
173,48.6330349944
174,107.7741606846
175,156.9000664904
176,140.3391377006
177,113.4368084336
178,43.5107408976
179,111.2452668959
180,145.4319504425
181,60.1296407854
182,133.0211713525
183,123.3630323597
184,124.783412013
185,50.0052954261
186,97.1649365806
187,119.0916511375
188,96.9901563029
189,57.9498487765
190,106.4249399105
191,43.4413701321
192,150.6517762913
193,96.1387037285
194,64.3080568292
195,124.9154572063
196,133.5818907708
197,127.7914327715
198,112.6085285559
199,131.1218681509
200,118.9966652413
201,127.4134633886
202,107.8495516793
203,102.8718014494
204,60.4828032491
205,130.5424358964
206,121.1204347371
207,29.9011709652
208,58.2196934971
209,129.1885848195
210,98.9208820694
211,135.1575562954
212,105.1460568553
213,115.227688779
214,75.181757165
215,144.9372505826
216,147.9027168669
217,124.9353945665
218,135.7987306568
219,110.490756573
220,62.8713897248
221,142.2027075324
222,98.848779899
223,137.289930728
224,95.7390148788
225,56.6252573564
226,118.3404057025
227,72.686861356
228,105.1805355772
229,124.7725773323
230,102.1870180137
231,65.9882182697
232,131.3324557245
233,135.9277621817
234,123.9907603132
235,110.1582157006
236,33.3462901278
237,40.3784167069
238,147.353079866
239,36.3824579437
240,118.4102333186
241,112.9109241126
242,163.8500971086
243,137.5291691029
244,103.5230502594
245,109.3167191757
246,118.2758675576
247,46.1382917926
248,154.9919418615
249,56.0654337504
250,108.3879332163
251,90.9547720672
252,129.6931857865
253,117.7786320583
254,146.2491060657
255,107.4530126289
256,104.7284081794
257,63.2224510217
258,125.7222197355
259,125.021833032
260,117.1931728386
261,134.0791886244
262,104.2798979646
263,78.0708004051
264,142.0799490026
265,138.6787637323
266,131.0163134858
267,80.6784959062
268,27.6532326451
269,80.6204760477
270,121.4427387415
271,108.6185960387
272,62.0000381879
273,54.7681400134
274,112.1766412133
275,56.1087080105
276,129.0627833201
277,122.0197471905
278,107.829652866
279,76.2870827871
280,135.1034225432
281,148.6248195643
282,55.9888279778
283,119.4756969463
284,74.6325483372
285,49.6346575384
286,136.298491679
287,62.5334598769
288,98.7222814806
289,31.5124094979
290,43.293864131
291,52.1468273696
292,108.5752175338
293,60.1512539489
294,137.2251692612
295,127.2234141
296,61.8183038815
297,17.2384663796
298,111.6853354783
299,106.8127297313
300,111.5736582118
301,59.3585753918
302,50.0967714669
303,142.514898706
304,111.8849854419
305,42.617435874
306,128.9216978098
307,27.3130542304
308,130.965817328
309,127.5329114596
310,38.8704029471
311,122.2379908701
312,59.2093415863
313,116.3082736439
314,132.0605355174
315,57.6731911144
316,101.7763300069
317,147.4342366143
318,157.3330269261
319,38.2042747547
320,128.1113040497
321,40.3649869193
322,140.8476116119
323,42.965436186
324,142.744786768
325,91.9437755366
326,115.2700366676
327,76.3612313844
328,51.8791123745
329,145.6548799291
330,61.400368478
331,104.7695071654
332,102.1467996965
333,56.4489371161
334,143.6715069213
335,123.338109946
336,106.5500827169
337,60.3883789201
338,96.4434641971
339,130.6117463726
340,102.0534109458
341,113.8438277682
342,120.6504469325
343,91.6340481047
344,108.5572148339
345,148.012917543
346,121.1230097991
347,102.6845775461
348,53.2199839849
349,106.6716294834
